,Lat,Lon
0,43.30966805,-1.968903298
1,43.3165647,-1.968646093
2,43.32438243,-1.961078962
3,43.32043375,-1.97128805
4,43.31892845,-1.970316067
5,43.30478335,-1.982472146
6,43.3197391,-1.9674964
7,43.31033547,-1.972943086
8,43.31991955,-1.96742705
9,43.3148935,-2.00771765
10,43.30502691,-1.994983463
11,43.31646255,-1.965053289
12,43.31006028,-1.955315778
13,43.31539586,-1.982498581
14,43.31261518,-1.970966911
15,43.31783497,-1.967442173
16,43.30664866,-1.961610579
17,43.31060639,-1.975062797
18,43.3090777,-1.96656255
19,43.30040965,-1.97936575
20,43.318277,-1.9715521
21,43.31458333,-2.006585249
22,43.31346036,-1.982962923
23,43.30328955,-1.981622253
24,43.31035473,-1.972243242
25,43.31693009,-1.967828448
26,43.30389495,-2.01510785
27,43.32809531,-1.970007888
28,43.31753773,-1.973381202
29,43.32361798,-1.988419945
30,43.30903815,-1.9814974
31,43.3063553,-1.9972714
32,43.30585375,-1.953861
33,43.31126978,-1.976028417
34,43.30623121,-1.975424137
35,43.31145547,-2.003337341
36,43.31870779,-1.977154534
37,43.31732503,-1.954654748
38,43.31330678,-1.993984499
39,43.32435988,-1.966406246
40,43.30123915,-1.976399726
41,43.30860217,-1.972176761
42,43.32337423,-1.975282958
43,43.30119916,-2.00240356
44,43.31583965,-1.968946
45,43.32578896,-1.970263188
46,43.31634623,-1.935475448
47,43.30839894,-2.003857921
48,43.32007844,-1.979524984
49,43.30479983,-1.96268016
50,43.29615641,-1.953936001
51,43.32165368,-1.944618668
52,43.30672439,-1.987721141
53,43.31874627,-1.971722758
54,43.29613146,-1.955097319
55,43.32439906,-1.983374631
56,43.3165063,-1.9695582
57,43.3180907,-1.971658518
58,43.32487272,-1.959922144
59,43.3099099,-1.976600367
60,43.32357942,-1.959676089
61,43.32084221,-1.96886879
62,43.32662418,-1.970178468
63,43.30723765,-1.99828155
64,43.31272779,-1.982814869
65,43.29459769,-1.955271517
66,43.31441934,-1.980710846
67,43.30623121,-1.975424137
68,43.31600368,-1.986835527
69,43.30719081,-1.997127775
