,ID_viaje,Estado cerrado,Duracion,Id de estacion de inicio,Fecha de inicio,Nombre de estacion de inicio,Fecha de fin,Id de estacion de fin de viaje,Nombre de estacion de fin de viaje,ID de ciclista,Msnbc de bicicleta,Moto identificador publico,Modelo de bicicleta,Nombre de producto,start_lat,start_lon,target_lat,target_lon,starttime,withinC,withinCend
237492,1164583,NORMAL,248,21,2022-09-19 06:56:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 7:00,19.0,19 - FRANTZIA PASEALEKUA,7879,P15927,178.0,FIT,Dbizi Ordinario,43.3169507884904,-1.9714513488864929,43.31785597968304,-1.9773212084271625,2022-09-19 06:56:00,True,True
237489,1164590,NORMAL,1344,15,2022-09-19 07:01:00,15 - SEGUNDO IZPIZUA,19/09/2022 7:23,45.0,45 - XABIER LIZARDI,15904,P32380,787.0,EFIT,Dbizi ORDINARIO (FN 20%),43.32394484791497,-1.9699386277507438,43.301489470754845,-2.0046293584460266,2022-09-19 07:01:00,True,True
237488,1164591,NORMAL,273,21,2022-09-19 07:01:00,21 - KARMENGO ANDRE MARIA / VIRGEN DEL CARMEN,19/09/2022 7:06,31.0,31 - BARCELONA,537,P15838,274.0,FIT,Ordinario,43.3169507884904,-1.9714513488864929,43.31202493382682,-1.9721476656757329,2022-09-19 07:01:00,True,True
237487,1164592,NORMAL,307,47,2022-09-19 07:02:00,01 - UDALETXEA / AYUNTAMIENTO,19/09/2022 7:07,19.0,19 - FRANTZIA PASEALEKUA,12206,P15873,40.0,FIT,Ordinario,43.32145412113152,-1.9864178021210355,43.31785597968304,-1.9773212084271625,2022-09-19 07:02:00,True,True
237486,1164593,NORMAL,296,22,2022-09-19 07:02:00,22 - ANTSO JAKITUNA / SANCHO EL SABIO,19/09/2022 7:07,7.0,07 - MARQUÉS MIRAFLORES,19534,P15755,71.0,FIT,Dbizi Ordinario,43.31109581854418,-1.9804310586157425,43.31704533570667,-1.9860015608223442,2022-09-19 07:02:00,True,True
237485,1164594,NORMAL,534,35,2022-09-19 07:02:00,35 - MUNTO,19/09/2022 7:11,28.0,28 - ISABEL II,13220,P32313,782.0,EFIT,Ordinario,43.306922838390456,-1.9933626516954035,43.30444212076648,-1.9760079804667197,2022-09-19 07:02:00,True,True
237483,1164596,NORMAL,839,25,2022-09-19 07:05:00,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,19/09/2022 7:19,44.0,44 - BERNARDO ESTORNES,21743,P15777,31.0,FIT,Dbizi Ordinario Grupal FN o FNE -5,43.308028841403846,-1.9788430368132444,43.30324802621556,-2.0076820639204795,2022-09-19 07:05:00,True,True
237482,1164597,NORMAL,292,25,2022-09-19 07:06:00,25 - CORTÁZAR ARKITEKTOAK / ARQUITECTOS,19/09/2022 7:11,19.0,19 - FRANTZIA PASEALEKUA,22237,P15723,9.0,FIT,Dbizi Ordinario,43.308028841403846,-1.9788430368132444,43.31785597968304,-1.9773212084271625,2022-09-19 07:06:00,True,True
237481,1164598,NORMAL,869,38,2022-09-19 07:06:00,38 - KRISTINA INFANTA,19/09/2022 7:20,28.0,28 - ISABEL II,21984,P32361,738.0,EFIT,Dbizi Ordinario,43.31444640411938,-2.0043079706293203,43.30444212076648,-1.9760079804667197,2022-09-19 07:06:00,True,True
237478,1164602,NORMAL,495,35,2022-09-19 07:08:00,35 - MUNTO,19/09/2022 7:16,19.0,19 - FRANTZIA PASEALEKUA,16837,P32376,769.0,EFIT,Dbizi Ocasional,43.306922838390456,-1.9933626516954035,43.31785597968304,-1.9773212084271625,2022-09-19 07:08:00,True,True
237476,1164605,NORMAL,515,28,2022-09-19 07:09:00,28 - ISABEL II,19/09/2022 7:18,19.0,19 - FRANTZIA PASEALEKUA,16016,P15780,260.0,FIT,Dbizi Ordinario,43.30444212076648,-1.9760079804667197,43.31785597968304,-1.9773212084271625,2022-09-19 07:09:00,True,True
237472,1164609,NORMAL,580,31,2022-09-19 07:10:00,31 - BARCELONA,19/09/2022 7:20,8.0,08 - URDANETA,3027,P32367,755.0,EFIT,Ordinario,43.31202493382682,-1.9721476656757329,43.31576219683798,-1.982698040693127,2022-09-19 07:10:00,True,True
