ID,ESTACIÓN,NumPlazas,Descuento,NomCalle,Portal,X_etrs89,Y_etrs89,X,Y
34,Tranvía,19,SI,TRANBIA,17,584835.6,4794231.04,-217534.53926314518,5357154.54178322
35,Munto,15,SI,MUNTO,76,581640.03,4795390.91,-221900.11535306185,5358805.92983503
36,Alto de Errondo,16,SI,ALTO DE ERRONDO,113,582068.58,4794703.15,-221323.42198042176,5357851.609234036
37,Andoain,23,SI,ANDOAIN,44,581785.99,4794512.06,-221714.37339115868,5357593.1593556665
38,Infanta Cristina,15,NO,INFANTA CRISTINA,17,580742.38,4796215.8,-223118.54268335542,5359956.930223285
39,Zarautz,15,NO,ZARAUTZ,1,580619.99,4795988.7,-223290.24477196846,5359646.118772303
40,Avenida Tolosa-Escuela de Magisterio,19,NO,"TOLOSA,AV DE",14,580379.86,4795908.16,-223621.13438338813,5359539.109126947
41,Avenida Tolosa-Carlos Santamaria,25,NO,"EUROPA,PZ DE",3,580234.57,4795612.86,-223825.34804832103,5359134.746072952
42,Berio,15,SI,"BERIO,PS DE",42,587408.47,4797034.06,-224532.23710304734,5358532.221533133
43,Avenida Tolosa-Psicología,17,NO,"TOLOSA,AV DE",70,580412.33,4795370.62,-223585.33608892138,5358798.202180461
44,Bernardo Estornes L.,17,NO,BERNARDO ESTORNES L., ,580483.55,4794968.91,-223494.14503041632,5358243.786726357
45,Xabier Lizardi,15,NO,XABIER LIZARDI,13,580733.47,4794776.56,-223154.3194114584,5357974.789125733
46,Avenida Tolosa-América,15,NO,"AMERICA,PZ DE", ,580851.34,4794835.47,-222991.59991821676,5358053.979637024
47,Ayuntamiento,24,NO,IJENTEA,2,582288.91,4797043.88,-221127.01823480733,5361029.141153127
52,Plaza Gabriel Celaya,15,NO,"GABRIEL CELAYA,PZ DE", ,584859.57,4796508.67,-217462.5034117107,5360291.006130451
53,Herrera,19,SI,"ALCALDE J.ELOSEGI,AV",128,586072.84,4796872.74,-215790.84360171348,5360771.416607251
56,Larratxo,15,SI,LARRATXO PAS.,24,586019.26,4796136.5,-215877.21765430825,5359758.205107941
57,Polideportivo Altza,15,SI,CASARES PAS.,153,586919.2,4796765.06,-214630.98700525513,5360608.193077239
58,Harrobieta plazatxoa,18,SI,HARROBIETA PL.,0,586451.14,4796650.93,-215275.45482760624,5360459.223088045
59,Julio Urkixo,19,SI,JULIO URKIXO PAS.,44,585697.35,4797304.68,-216298.74485113224,5361373.017309836
60,Añorga Txiki,19,SI,"AÑORGA, AV", ,581293.64,4793423.51,-222407.8855281714,5356102.391409523
61,Txaparrene,19,SI,TXAPARRENE PAS.,26,584992.08,4796902.84,-217273.83016038217,5360831.693562143
62,Berio,19,SI,"BERIO,PS DE",26,579760.34,4795343.12,-224480.55482771018,5358770.950796199
63,Bera Bera,15,SI,ZUHAIXKEN PAS.,2,581622.13,4794840.74,-221933.78000499,5358048.521699367
64,San Martzial plaza,14,SI,SAN MARTZIAL PL., ,586390.25,4796268.3,-215365.7286562213,5359933.247316649
