,center_x,center_y,density
0,-2.0212384754442976,43.29030363747992,0.0
1,-2.0212384754442976,43.30000428217397,33.0
2,-2.0212384754442976,43.30970492686802,60.0
3,-2.0212384754442976,43.319405571562065,0.0
4,-2.0212384754442976,43.329106216256115,0.0
5,-2.0097163047568487,43.29030363747992,0.0
6,-2.0097163047568487,43.30000428217397,360.0
7,-2.0097163047568487,43.30970492686802,651.0
8,-2.0097163047568487,43.319405571562065,36.0
9,-2.0097163047568487,43.329106216256115,0.0
10,-1.9981941340693998,43.29030363747992,1.0
11,-1.9981941340693998,43.30000428217397,256.0
12,-1.9981941340693998,43.30970492686802,492.0
13,-1.9981941340693998,43.319405571562065,0.0
14,-1.9981941340693998,43.329106216256115,0.0
15,-1.986671963381951,43.29030363747992,0.0
16,-1.986671963381951,43.30000428217397,529.0
17,-1.986671963381951,43.30970492686802,585.0
18,-1.986671963381951,43.319405571562065,643.0
19,-1.986671963381951,43.329106216256115,0.0
20,-1.975149792694502,43.29030363747992,0.0
21,-1.975149792694502,43.30000428217397,493.0
22,-1.975149792694502,43.30970492686802,834.0
23,-1.975149792694502,43.319405571562065,1970.0
24,-1.975149792694502,43.329106216256115,84.0
25,-1.9636276220070532,43.29030363747992,0.0
26,-1.9636276220070532,43.30000428217397,22.0
27,-1.9636276220070532,43.30970492686802,487.0
28,-1.9636276220070532,43.319405571562065,503.0
29,-1.9636276220070532,43.329106216256115,71.0
30,-1.9521054513196043,43.29030363747992,23.0
31,-1.9521054513196043,43.30000428217397,62.0
32,-1.9521054513196043,43.30970492686802,85.0
33,-1.9521054513196043,43.319405571562065,228.0
34,-1.9521054513196043,43.329106216256115,0.0
35,-1.9405832806321555,43.29030363747992,0.0
36,-1.9405832806321555,43.30000428217397,0.0
37,-1.9405832806321555,43.30970492686802,2.0
38,-1.9405832806321555,43.319405571562065,67.0
39,-1.9405832806321555,43.329106216256115,0.0
40,-1.9290611099447066,43.29030363747992,0.0
41,-1.9290611099447066,43.30000428217397,0.0
42,-1.9290611099447066,43.30970492686802,0.0
43,-1.9290611099447066,43.319405571562065,17.0
44,-1.9290611099447066,43.329106216256115,0.0
45,-2.015477390100573,43.29515395982695,1.0
46,-2.015477390100573,43.304854604521,394.0
47,-2.015477390100573,43.31455524921504,143.0
48,-2.015477390100573,43.32425589390909,0.0
49,-2.0039552194131245,43.29515395982695,14.0
50,-2.0039552194131245,43.304854604521,376.0
51,-2.0039552194131245,43.31455524921504,1052.0
52,-2.0039552194131245,43.32425589390909,0.0
53,-1.9924330487256754,43.29515395982695,81.0
54,-1.9924330487256754,43.304854604521,424.0
55,-1.9924330487256754,43.31455524921504,399.0
56,-1.9924330487256754,43.32425589390909,539.0
57,-1.9809108780382265,43.29515395982695,1.0
58,-1.9809108780382265,43.304854604521,1056.0
59,-1.9809108780382265,43.31455524921504,1870.0
60,-1.9809108780382265,43.32425589390909,1377.0
61,-1.9693887073507776,43.29515395982695,0.0
62,-1.9693887073507776,43.304854604521,380.0
63,-1.9693887073507776,43.31455524921504,562.0
64,-1.9693887073507776,43.32425589390909,1317.0
65,-1.9578665366633288,43.29515395982695,95.0
66,-1.9578665366633288,43.304854604521,168.0
67,-1.9578665366633288,43.31455524921504,237.0
68,-1.9578665366633288,43.32425589390909,152.0
69,-1.94634436597588,43.29515395982695,1.0
70,-1.94634436597588,43.304854604521,1.0
71,-1.94634436597588,43.31455524921504,19.0
72,-1.94634436597588,43.32425589390909,11.0
73,-1.934822195288431,43.29515395982695,0.0
74,-1.934822195288431,43.304854604521,0.0
75,-1.934822195288431,43.31455524921504,34.0
76,-1.934822195288431,43.32425589390909,0.0
